optimizer,query_name,query_type,workload_order,mean,std,min,max,range
BAO,30a,leave_one_out,random,5.227239333333333,3.037113973617937,3.3933519999999997,8.732948,5.339596
LOGER,8c,random_split,ascending_latency,10.387343,1.2218046974733725,9.298375,11.708627,2.410252
BAO,25c,random_split,random,6.522525333333333,1.1840032758706094,5.5755349999999995,7.849994,2.2744590000000002
BAO,25c,random_split,ascending_latency,6.468326,1.2267713944121779,5.75554,7.88487,2.1293300000000004
BAO,26c,leave_one_out,ascending_latency,4.637386333333333,1.1485352710911116,3.94233,5.963079,2.0207489999999995
FASTgres,9c,random_split,random,2.1360556666666666,1.1198761012551048,1.4139659999999998,3.4261120000000003,2.0121460000000004
BAO,17b,random_split,ascending_latency,5.894461666666667,0.935791543801467,5.144972,6.943302,1.79833
BAO,15a,base_query,ascending_complexity,1.1919796666666667,1.00872541136641,0.561882,2.355415,1.7935329999999998
FASTgres,7c,leave_one_out,random,4.061455,0.8561264771066253,3.1135279999999996,4.778376000000001,1.664848000000001
FASTgres,7c,leave_one_out,ascending_latency,4.3489656666666665,0.8309803869624921,3.462786,5.110713,1.6479269999999997
