epoch,test_timer,test,test_raw,test_accelerate,train_timer,train,train_raw,train_accelerate
3,2.5144554683900524,1.0000478787607086,1.3146554584456644,0.6962673758440171,1.5480745122527189,1.0000157189821848,0.9281809999383366,0.6561638802067902
7,2.157878821559304,1.0000140781701359,1.3088017560640024,0.9116467789800268,1.3099910104155006,1.0000153414408246,0.761539398548755,1.0696279504469466
11,1.612488032704209,1.0000090248287863,0.9309651818174688,1.3489019106326863,1.104234695134119,1.0000134617752827,0.6156658996160466,1.5816406150831313
15,1.801185349588669,1.000010722756478,1.1191465891576726,0.7654926338288071,1.2552803113418554,1.000016702422914,0.5257894434428946,1.2471549192838796
19,1.7716368316536917,1.0000058021544527,0.9411335234107389,1.1466807735553401,0.9960486363131567,1.0000027772896767,0.5469557440411825,1.6500299557520957
23,1.5933153518741927,1.0000090774487043,0.8411552253779558,1.5465979093468787,1.2245186820824816,1.0000229065500754,0.4412358697168848,1.6606562344674975
27,1.884846642717296,1.0000303778290338,0.801149184483262,1.2144143297190866,1.0040893501182135,1.0000066113360968,0.4070338901905195,1.4491593431073826
31,2.2179368599075917,1.0000300997192204,0.9210290705024986,1.1036415306168696,1.1827537142757862,1.0000234903548246,0.39090182151418024,1.789778307111844
35,1.5602133248313468,1.0000099320353915,0.744316882199363,1.441555635928269,1.0652964618239744,1.000011506020128,0.45823888971843907,1.754198832998694
39,1.829129550239453,1.0000302638173402,0.7631134841968338,1.5332905541567594,0.9514626394433725,1.000006384133859,0.38489845115429605,1.9163138852556527
43,1.9940553674308354,1.0000486182641974,0.7971647637375749,1.6789200233726242,1.0038568122903109,1.0000124823987462,0.41179332971603616,1.8106190317518105
47,1.5670764669807709,1.000012044956259,0.7074516175970467,1.7542003676470588,0.9315984012858931,1.0000056558478263,0.41080075616149936,1.6241938822468671
